Testing 533 payers...
Start: 2026-06-03T17:35:48.480528+00:00
================================================================================
  [1/533] Aetna                                         ... ❌ not_found | HTTP 404 | 241ms
  [2/533] Alameda Alliance for Health                   ... 🔒 auth_required | HTTP 403 | 303ms
  [3/533] Alignment Health Plan                         ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.alignment | 19ms
  [4/533] AmeriHealth Caritas                           ... ❌ not_found | HTTP 404 | 199ms
  [5/533] Banner University Health Plans                ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.bannerhea | 32ms
  [6/533] Baylor Scott & White Health Plan              ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.bswhealth | 17ms
  [7/533] Blue Cross and Blue Shield of Alabama         ... 🟡 valid_non_fhir | HTTP 200 | 193ms
  [8/533] Blue Cross and Blue Shield of Illinois        ... ⏱️ timeout | timeout | 20044ms
  [9/533] Blue Cross and Blue Shield of Minnesota       ... 🟡 valid_non_fhir | HTTP 200 | 347ms
  [10/533] Blue Cross and Blue Shield of New Mexico      ... ⏱️ timeout | timeout | 20055ms
  [11/533] Blue Cross and Blue Shield of North Carolina  ... 🚫 unreachable | HTTPSConnectionPool(host='api.bluecrossn | 43ms
  [12/533] Blue Cross and Blue Shield of Texas           ... ✅ valid | HTTP 200 | 1426ms
  [13/533] Blue Cross Blue Shield of Arizona             ... 🚫 unreachable | HTTPSConnectionPool(host='api.azblue.com | 26ms
  [14/533] Blue Cross Blue Shield of Michigan            ... ✅ valid | HTTP 200 | 1717ms
  [15/533] Blue Shield of California                     ... 💥 server_error | HTTP 500 | 378ms
  [16/533] BlueCross BlueShield of Tennessee             ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.bcbst.com | 25ms
  [17/533] CalOptima                                     ... 🔒 auth_required | HTTP 403 | 287ms
  [18/533] CalViva Health                                ... 🔐 ssl_error | HTTPSConnectionPool(host='fhir.calviva.o | 193ms
  [19/533] Capital District Physicians' Health Plan, Inc ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.cdphp.com | 39ms
  [20/533] CareOregon                                    ... 🚫 unreachable | HTTPSConnectionPool(host='api.oregonfhir | 21ms
  [21/533] CareSource                                    ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.caresourc | 17ms
  [22/533] CenCal Health                                 ... 🔒 auth_required | HTTP 403 | 304ms
  [23/533] Centene Corporation                           ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.centene.c | 30ms
  [24/533] Central California Alliance for Health        ... 🔒 auth_required | HTTP 403 | 291ms
  [26/533] Cigna Corporation                             ... ✅ valid | HTTP 200 | 322ms
  [29/533] Community Health Group                        ... 🚫 unreachable | HTTPSConnectionPool(host='api.onyxhealth | 15ms
  [30/533] Community Health Plan of Washington (CHPW)    ... ⚠️ client_error | HTTP 400 | 109ms
  [32/533] Cook Children's Health Plan (CCHP)            ... 🔒 auth_required | HTTP 403 | 279ms
  [33/533] CountyCare Health Plan                        ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.170264617 | 35ms
  [34/533] Denver Health Medical Plan                    ... 🔒 auth_required | HTTP 403 | 141ms
  [35/533] Devoted Health                                ... 🚫 unreachable | HTTPSConnectionPool(host='api.devoted.co | 26ms
  [38/533] Elevance Health (Anthem)                      ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.anthem.co | 19ms
  [39/533] EmblemHealth, Inc.                            ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.emblemhea | 22ms
  [40/533] Excellus BlueCross BlueShield                 ... 🚫 unreachable | HTTPSConnectionPool(host='api.excellusbc | 56ms
  [41/533] Fallon Health                                 ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.fallonhea | 23ms
  [43/533] Florida Blue                                  ... ❌ not_found | HTTP 404 | 103ms
  [44/533] Geisinger Health Plan                         ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.geisinger | 42ms
  [46/533] Hawaii Medical Service Association            ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.hmsa.com' | 26ms
  [47/533] Health Alliance Plan                          ... ❌ not_found | HTTP 404 | 268ms
  [49/533] Health Plan of San Joaquin                    ... 🔒 auth_required | HTTP 403 | 267ms
  [50/533] Health Plan of San Mateo                      ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.hpsm.org' | 27ms
  [51/533] Healthfirst                                   ... ❌ not_found | HTTP 404 | 142ms
  [52/533] HealthPartners                                ... ✅ valid | HTTP 200 | 384ms
  [53/533] Highmark Health                               ... ❌ not_found | HTTP 404 | 124ms
  [54/533] Horizon Blue Cross Blue Shield of New Jersey  ... ✅ valid | HTTP 200 | 446ms
  [55/533] Humana Inc.                                   ... ⚠️ client_error | HTTP 400 | 251ms
  [56/533] Independence Blue Cross                       ... 🚫 unreachable | HTTPSConnectionPool(host='api.ibx.com',  | 14ms
  [57/533] Independent Health Association, Inc.          ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.independe | 25ms
  [58/533] Inland Empire Health Plan                     ... ✅ valid | HTTP 200 | 284ms
  [59/533] Kaiser Foundation Health Plan of Colorado, In ... 🚫 unreachable | HTTPSConnectionPool(host='api.coloradofh | 25ms
  [60/533] Kaiser Foundation Health Plan of the Mid-Atla ... 🚫 unreachable | HTTPSConnectionPool(host='api.kp.org', p | 164ms
  [61/533] Kaiser Foundation Health Plan of the Northwes ... 🚫 unreachable | HTTPSConnectionPool(host='api.kp.org', p | 170ms
  [62/533] Kaiser Foundation Health Plan, Inc.           ... 🚫 unreachable | HTTPSConnectionPool(host='api.kp.org', p | 177ms
  [64/533] L.A. Care Health Plan                         ... 🔒 auth_required | HTTP 403 | 329ms
  [65/533] Maryland Physicians Care                      ... ❌ not_found | HTTP 404 | 92ms
  [66/533] Mass General Brigham Health Plan              ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.massgener | 8ms
  [67/533] McLaren Health Plan                           ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.mclarenhe | 24ms
  [68/533] MDwise                                        ... 🔐 ssl_error | HTTPSConnectionPool(host='fhir.mdwise.or | 126ms
  [69/533] Medica                                        ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.medica.co | 57ms
  [70/533] Medical Card System, Inc.                     ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.mcs.com.p | 57ms
  [72/533] Mercy Care Plan                               ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.mercycare | 17ms
  [73/533] MetroPlus Health Plan, Inc.                   ... 🔒 auth_required | HTTP 403 | 71ms
  [74/533] Molina Healthcare                             ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.molinahea | 480ms
  [75/533] MVP Health Care                               ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.mvphealth | 432ms
  [76/533] Neighborhood Health Plan of Rhode Island, Inc ... 🚫 unreachable | HTTPSConnectionPool(host='api.rhodeislan | 11ms
  [77/533] PacificSource Health Plans                    ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.pacificso | 103ms
  [78/533] Parkland Community Health Plan                ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.parklandc | 15ms
  [79/533] Partnership HealthPlan of California          ... 🔒 auth_required | HTTP 403 | 267ms
  [80/533] Plan de Salud Menonita                        ... 🟡 valid_non_fhir | HTTP 200 | 67ms
  [81/533] Point32Health, Inc.                           ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.point32he | 12ms
  [82/533] Presbyterian Health Plan/Presbyterian Insuran ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.phs.org', | 12ms
  [83/533] Priority Health                               ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.priorityh | 25ms
  [85/533] San Francisco Health Plan (SFHP)              ... 🔒 auth_required | HTTP 403 | 274ms
  [86/533] Santa Clara Family Health Plan                ... ❌ not_found | HTTP 404 | 269ms
  [87/533] SCAN Health Plan                              ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.scanhealt | 27ms
  [88/533] Security Health Plan of Wisconsin, Inc.       ... 🚫 unreachable | HTTPSConnectionPool(host='api.wisconsinf | 10ms
  [89/533] SelectHealth                                  ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.selecthea | 28ms
  [90/533] Sentara Health Plans, Inc.                    ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.sentara.c | 31ms
